artist,sentiment_labmt,n_tokens_used,page_file
Ten_Years_After,6.3944246031746035,504,Ten_Years_After.txt
Tenacious_D,6.248004938271604,4050,Tenacious_D.txt
The_Alan_Parsons_Project,6.4058431372549025,765,The_Alan_Parsons_Project.txt
The_All-American_Rejects,6.351226544622426,2185,The_All-American_Rejects.txt
The_Allman_Brothers_Band,6.234344202898551,2760,The_Allman_Brothers_Band.txt
The_Animals,6.317445652173913,1104,The_Animals.txt
The_Band,6.212581939799332,2990,The_Band.txt
The_Bangles,6.405848434925865,1214,The_Bangles.txt
The_Beach_Boys,6.446723150636905,8557,The_Beach_Boys.txt
The_Beatles,6.3466623942578835,7802,The_Beatles.txt
The_Big_Bopper,6.15176245210728,1044,The_Big_Bopper.txt
The_Black_Crowes,6.308587035688274,1373,The_Black_Crowes.txt
The_Black_Keys,6.364046028210839,4041,The_Black_Keys.txt
The_Boxtones,6.424621359223301,515,The_Boxtones.txt
The_Byrds,6.26358408903545,4852,The_Byrds.txt
The_Cab,6.3990578034682075,1730,The_Cab.txt
The_Cardigans,6.485257082896117,953,The_Cardigans.txt
The_Cars,6.368532196969697,1056,The_Cars.txt
The_Clash,6.107562724014337,3069,The_Clash.txt
The_Cranberries,6.282363960749332,4484,The_Cranberries.txt
The_Cult,6.2002512562814065,3184,The_Cult.txt
The_Cure,6.4110385177961975,4102,The_Cure.txt
The_Dave_Clark_Five,6.34470511140236,763,The_Dave_Clark_Five.txt
The_Doobie_Brothers,6.321799751758379,2417,The_Doobie_Brothers.txt
The_Doors,6.214363580055745,3229,The_Doors.txt
The_Everly_Brothers,6.20450704225352,1988,The_Everly_Brothers.txt
The_Fixx,6.330407124681935,393,The_Fixx.txt
The_Flaming_Lips,6.240290502793296,2685,The_Flaming_Lips.txt
The_Fray,6.367042932947419,2073,The_Fray.txt
The_Guess_Who,6.274421813403417,1522,The_Guess_Who.txt
The_Hives,6.2106790945406125,1502,The_Hives.txt
